,loss,accuracy,precision,auc,recall,true_positives,true_negatives,false_positives,false_negatives,val_loss,val_accuracy,val_precision,val_auc,val_recall,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives
29,0.2715556025505066,0.9079229235649109,0.8634686470031738,0.941397488117218,0.8268551230430603,234.0,614.0,37.0,49.0,0.19252431392669678,0.9223300814628601,0.9599999785423279,0.9679659008979797,0.774193525314331,24.0,71.0,1.0,7.0
30,0.27657225728034973,0.9036402702331543,0.8587360382080078,0.940271258354187,0.8162544369697571,231.0,613.0,38.0,52.0,0.21397839486598969,0.9223300814628601,1.0,0.9625895619392395,0.7419354915618896,23.0,72.0,0.0,8.0
31,0.2466890513896942,0.9207708835601807,0.9563318490982056,0.9463071823120117,0.7738515734672546,219.0,641.0,10.0,64.0,0.22045442461967468,0.9223300814628601,1.0,0.9511648416519165,0.7419354915618896,23.0,72.0,0.0,8.0
32,0.28157752752304077,0.9014989137649536,0.902953565120697,0.9311687350273132,0.7561837434768677,214.0,628.0,23.0,69.0,0.22246095538139343,0.9320388436317444,1.0,0.9536290168762207,0.774193525314331,24.0,72.0,0.0,7.0
33,0.2493017166852951,0.9122055768966675,0.9313304424285889,0.9457969069480896,0.7667844295501709,217.0,635.0,16.0,66.0,0.22355154156684875,0.9320388436317444,1.0,0.9630376100540161,0.774193525314331,24.0,72.0,0.0,7.0
34,0.24986553192138672,0.9057815670967102,0.891566276550293,0.950489342212677,0.7844523191452026,222.0,624.0,27.0,61.0,0.21618220210075378,0.9223300814628601,0.9599999785423279,0.9621415734291077,0.774193525314331,24.0,71.0,1.0,7.0
35,0.23063039779663086,0.9175589084625244,0.9364407062530518,0.9548017978668213,0.7809187173843384,221.0,636.0,15.0,62.0,0.1896076202392578,0.9223300814628601,1.0,0.9681898951530457,0.7419354915618896,23.0,72.0,0.0,8.0
36,0.23980054259300232,0.9175589084625244,0.9120000004768372,0.9496642351150513,0.8056536912918091,228.0,629.0,22.0,55.0,0.1872471570968628,0.9223300814628601,0.9599999785423279,0.970878005027771,0.774193525314331,24.0,71.0,1.0,7.0
37,0.24603329598903656,0.9175589084625244,0.9256198406219482,0.9467331767082214,0.7915194630622864,224.0,633.0,18.0,59.0,0.19299469888210297,0.9223300814628601,1.0,0.9684139490127563,0.7419354915618896,23.0,72.0,0.0,8.0
38,0.2409525066614151,0.9089936017990112,0.8897637724876404,0.9537976384162903,0.7985865473747253,226.0,623.0,28.0,57.0,0.1999393254518509,0.9417475461959839,0.931034505367279,0.9782705307006836,0.8709677457809448,27.0,70.0,2.0,4.0
39,0.2880585491657257,0.8683083653450012,0.8846153616905212,0.934938371181488,0.6501767039299011,184.0,627.0,24.0,99.0,0.20622816681861877,0.9223300814628601,1.0,0.9663978219032288,0.7419354915618896,23.0,72.0,0.0,8.0
40,0.2637907564640045,0.9079229235649109,0.9227467775344849,0.9419512152671814,0.7597172856330872,215.0,633.0,18.0,68.0,0.18899507820606232,0.9223300814628601,1.0,0.9726702570915222,0.7419354915618896,23.0,72.0,0.0,8.0
